Título,Precio,Ubicación,Habitaciones,Baños,Metros Cuadrados,Inmobiliaria,URL
Zona 10,"$ 850,000 Más impuestos","Zona 10, Guatemala",4,4.5,482,GIEKA INMOBILIARIA,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 420,000 negociables","Zona 10, Guatemala",4,3.5,250,Sarissa Asesoria Inmobiliaria,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 1,200,000","Zona 10, Guatemala",4,2.5,363,Juan Carlos Ramirez,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 330,000","Zona 10, Guatemala",3,2.5,200,Ambiente Inmobiliario,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 980,000","Zona 10, Guatemala",4,4.5,,M2 Guate,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 980,000","Zona 10, Guatemala",4,4.5,,M2 Guate,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 980,000","Zona 10, Guatemala",4,5,457,"Inmobiliaria Santa Sofía, S. A. Cel: 52057690",https://mapainmueble.com/area/zona-10/
Zona 10,"$ 780,000","Zona 10, Guatemala",3,4,370,Negocios Integros,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 450,000","Zona 10, Guatemala",10,5,408,COINMSA Guatemala,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 980,000 más impuestos","Zona 10, Guatemala",4,5,450,Stephanie Köng,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 400,000","Zona 10, Guatemala",3,3,250,Brenda Romero,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 1,450,000 Mas timbres","Zona 10, Guatemala",5,6,750,Lorena Urrutia,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 240,000","Zona 10, Guatemala",2,2.5,158,Brenda Romero,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 400,000","Zona 10, Guatemala",3,3.5,250,Sarissa Asesoria Inmobiliaria,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 400,000","Zona 10, Guatemala",4,3,250,Juan Carlos Ramirez,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 450,000","Zona 10, Guatemala",9,5,408,COINMSA Guatemala,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 1,250,000 Mas impuestos","Zona 10, Guatemala",4,7,597,Lorena Urrutia,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 1,030,610.40","Zona 10, Guatemala",2,3,200,Tu Espacio Aquí GT,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 495,000 más impuestos y gastos","Zona 10, Guatemala",5,3.5,374,Leonel Sánchez,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 490,000","Zona 10, Guatemala",3,3.5,300,Jarisa Bienes Raices,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 399,990","Zona 10, Guatemala",4,3,,Realty Guatemala,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 399,990","Zona 10, Guatemala",4,3,475,Realty Guatemala,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 625,000 MÁS IMPUESTOS","Zona 10, Guatemala",3,3.5,605,Alzugaray Real Estate,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 980,000","Zona 10, Guatemala",4,,,YVIVE INMOBILIARIA,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 12,000 Escribanos para más INFO","Zona 10, Guatemala",4,5,425,"Carpa Inversiones GT, S. A.",https://mapainmueble.com/area/zona-10/
Zona 10,"$ 1,400,000","Zona 10, Guatemala",4,5.5,600,,https://mapainmueble.com/area/zona-10/
Zona 10,"$ 1,450,000","Zona 10, Guatemala",4,5,"1,417",,https://mapainmueble.com/area/zona-10/
